prob_group,sample_count,pred_prob_mean,label_mean,sell_label_mean,trade_return_mean,trade_return_median,future_return_mean
0,1013,0.45009223,0.21717670286278382,0.21717670286278382,0.00011230326668487733,-0.00022234574763757564,0.00011001417497782652
1,1012,0.5245495,0.2756916996047431,0.2756916996047431,2.947108670158065e-05,-0.00028146088774827493,3.569065095786716e-05
2,1013,0.5504469,0.2527147087857848,0.2527147087857848,7.479155385873569e-05,-0.00039808917197448057,4.197683714405409e-05
3,1012,0.5661012,0.3132411067193676,0.3132411067193676,-0.0006785865830385226,-0.00023071982361189125,-0.0006885130290031797
4,1013,0.57953936,0.2734452122408687,0.2734452122408687,7.429154028831578e-06,-0.00040407306696466083,1.0075756073444774e-05
5,1012,0.59230226,0.29446640316205536,0.29446640316205536,0.00048509859978146955,-0.00022315572345432688,inf
6,1012,0.60419965,0.28063241106719367,0.28063241106719367,6.201007163674333e-05,-0.0004401408450703803,0.00013329636344693672
7,1013,0.6163784,0.29615004935834155,0.29615004935834155,0.0006425765927137248,-0.00032938076416333395,0.0006814959584398884
8,1012,0.6307402,0.2974308300395257,0.2974308300395257,0.000335419045743045,-0.0004120992334953888,0.00020224183882206525
9,1013,0.65550804,0.3109575518262586,0.3109575518262586,-0.0001522056681698438,-0.00028513287669956755,-0.0001571606505913165
