horizon,tp,sl,cost,buy_positive_rate,buy_gross_return_mean_all,buy_avg_exit_bar,sell_positive_rate,sell_gross_return_mean_all,sell_avg_exit_bar
3,0.002,0.0015,0.0015,0.24675823364347954,-4.214928916445687e-05,1.7919386760405283,0.281346920691183,0.00012672803199444737,1.8384781260154197
3,0.002,0.002,0.0015,0.2768128784522227,-9.532561240002194e-05,1.9579210114317787,0.3121695465957761,9.624544774217787e-05,1.991477860160104
3,0.002,0.003,0.0015,0.31445872101609806,-0.00016911758423972898,2.1949753345346057,0.35197164377492246,6.38849259844463e-05,2.2047676719936193
3,0.003,0.0015,0.0015,0.2225520602569783,2.008662032549471e-06,1.8726848432930612,0.25953330379559886,0.00017500595247049215,1.9286621569727942
3,0.003,0.002,0.0015,0.24984492689410723,-5.079657306345473e-05,2.0471154698254215,0.28812583074878156,0.0001464638336944676,2.0897704782441733
3,0.003,0.003,0.0015,0.2840791611283415,-0.0001265065980169222,2.2944495317992497,0.3245015507310589,0.00011111564532308242,2.3140194369775204
3,0.004,0.0015,0.0015,0.2101905183872397,3.6465159226819295e-05,1.9254718931852421,0.24876679958647172,0.0002102590656089594,1.985510885298201
3,0.004,0.002,0.0015,0.2363314133805937,-1.3322384812910463e-05,2.1052196260301894,0.2761039728252843,0.00018147933304721024,2.1516556878267803
3,0.004,0.003,0.0015,0.26857185053906363,-8.856140401115719e-05,2.359008064277907,0.3111948013587358,0.00014705963646605431,2.3816205358461584
6,0.002,0.0015,0.0015,0.2695170580416482,-6.0241388168889184e-05,2.2650104131279263,0.31101757495200116,0.00014848799229634027,2.3683588614980136
6,0.002,0.002,0.0015,0.309644070299808,-0.00012701645761106238,2.5906089833537655,0.35423128046078867,0.00012266994211072749,2.6767351520612084
6,0.002,0.003,0.0015,0.3653079308817014,-0.00022586129192720455,3.117616649188367,0.41645251809186234,0.00010174099006695816,3.1513522295910077
6,0.003,0.0015,0.0015,0.23639048884950525,-1.3774467061776308e-05,2.453672658523256,0.2787180623246197,0.0002107493254846211,2.5993235159446404
6,0.003,0.002,0.0015,0.27227883621326243,-8.115738027306003e-05,2.8083245941834187,0.3189779943878305,0.00019003112304190434,2.9390573534407634
6,0.003,0.003,0.0015,0.3226702111948014,-0.00018382096722073779,3.375433880330266,0.3762516614975631,0.00016860078900153815,3.4592558675391047
6,0.004,0.0015,0.0015,0.21648205582631813,2.156856509494516e-05,2.5917758444972896,0.25990252547629594,0.00025575351499705607,2.7623295865766657
6,0.004,0.002,0.0015,0.25019937970757644,-4.275902312258377e-05,2.9674608215293268,0.2980505095259194,0.00023617362612407132,3.1228749095313355
6,0.004,0.003,0.0015,0.29757790577462706,-0.00014330316763537203,3.5636087027162753,0.3528282380741397,0.000218049482066963,3.6722744930062183
9,0.002,0.0015,0.0015,0.27812730763550436,-6.360432326764808e-05,2.476602658788774,0.32194653670063506,0.00015666149469829358,2.613397341211226
9,0.002,0.002,0.0015,0.3228031309998523,-0.00013566307106588704,2.8914623338257015,0.3709496381627529,0.0001338770083997274,3.0143426883308715
9,0.002,0.003,0.0015,0.3885245901639344,-0.00024633405629900644,3.6122304283604136,0.44448382809038545,0.00011815349847857446,3.664963072378139
9,0.003,0.0015,0.0015,0.24173681878599912,-1.8831028641007246e-05,2.739778434268833,0.28469945355191256,0.00022444157354826403,2.9424224519940916
9,0.003,0.002,0.0015,0.28140599616009454,-9.349557982502297e-05,3.203249630723781,0.3300546448087432,0.00020743900553367442,3.3985376661742985
9,0.003,0.003,0.0015,0.3408359178850982,-0.00020818481134111735,3.9973559822747413,0.397843745384729,0.00019017001659060848,4.134505169867061
9,0.004,0.0015,0.0015,0.21756018313395362,1.5149943712304057e-05,2.9454948301329393,0.2616895584108699,0.0002810406882458073,3.1985081240768096
9,0.004,0.002,0.0015,0.25427558706247233,-5.747738044318835e-05,3.44602658788774,0.30429774036331414,0.0002658554320373228,3.6935745937961597
9,0.004,0.003,0.0015,0.30988037217545417,-0.000170461751975325,4.294180206794683,0.368911534485305,0.0002541623917576007,4.48685376661743
12,0.002,0.0015,0.0015,0.28112538768276474,-6.678804674723706e-05,2.5892284739353295,0.32627381479840495,0.00015933171517685,2.743400741539507
12,0.002,0.002,0.0015,0.3284153005464481,-0.00013911581863223078,3.0572108069781527,0.37867375572293605,0.0001378843429831146,3.200924708628152
12,0.002,0.003,0.0015,0.3996307783193029,-0.0002582396378571774,3.9042793624532846,0.458632402894698,0.00012736321293288567,3.968166979334387
12,0.003,0.0015,0.0015,0.24266725742135578,-2.236632400932717e-05,2.9037180377269305,0.2866341751587653,0.00022899763395033387,3.139105130212565
12,0.003,0.002,0.0015,0.28441884507458276,-9.922955639214821e-05,3.4372571901265934,0.33497267759562843,0.00021345466631105987,3.671698893599421
12,0.003,0.003,0.0015,0.34918032786885245,-0.00022263817806872856,4.388894633440182,0.40871363166445135,0.00020303026797966974,4.561339498057521
12,0.004,0.0015,0.0015,0.21609806527839315,1.0350368265586595e-05,3.159357135471291,0.26101019051838725,0.00028989055761163737,3.4653381981476286
12,0.004,0.002,0.0015,0.25449712007089054,-6.526257013845888e-05,3.744095011595787,0.3061143110323438,0.00027675067873639384,4.0537985435100525
12,0.004,0.003,0.0015,0.3150347068379855,-0.0001856214041808729,4.773653189949333,0.3762221237631074,0.0002730869678205237,5.0281400948343355
