,0
threshold,0.5127689182758332
horizon,1
round_trip_cost,0.003
trade_count,344
win_rate,0.2441860465116279
gross_return_mean,0.00014944021754432883
net_return_mean,-0.0028505597824556713
gross_return_median,-0.00017501836312766583
net_return_median,-0.003175018363127666
total_return,-0.6282438721329883
max_drawdown,-0.627519015239071
per_trade_sharpe,-0.4310195795252026
trades_per_year,387.7838289664041
bar_annualized_sharpe,-46.45423371537089
sharpe,-8.487735672282197
avg_pred_prob,0.5337044967468395
positive_label_rate,0.6366279069767442
buy_label_rate,0.34011627906976744
selected_by,validation_net_return_mean
selected_quantile,0.95
